2017-02-14 10:31:52 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-02-14 10:31:52 status half-configured mawk:amd64 1.3.3-17
2017-02-14 10:31:52 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:52 status half-installed mawk:amd64 1.3.3-17
2017-02-14 10:31:52 status half-installed mawk:amd64 1.3.3-17
2017-02-14 10:31:52 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:52 status unpacked mawk:amd64 1.3.3-17
2017-02-14 10:31:52 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-02-14 10:31:52 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-02-14 10:31:52 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-02-14 10:31:52 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-02-14 10:31:52 install ncurses-base:all <none> 5.9+20140913-1
2017-02-14 10:31:52 status half-installed ncurses-base:all 5.9+20140913-1
2017-02-14 10:31:52 status unpacked ncurses-base:all 5.9+20140913-1
2017-02-14 10:31:52 status unpacked ncurses-base:all 5.9+20140913-1
2017-02-14 10:31:52 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2017-02-14 10:31:52 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-14 10:31:53 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-14 10:31:53 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-02-14 10:31:53 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
